fighter,lore,cluster,fighting_style
AARON RILEY,"With roots in their homeland, AARON RILEY defied expectations to become a force in the octagon. AARON RILEY brings a high-volume striking attack to every fight, throwing over 7.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
AARON SIMPSON,"With roots in their homeland, AARON SIMPSON defied expectations to become a force in the octagon. As a versatile fighter, AARON SIMPSON maintains constant pressure with over 21.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",5,
ABDUL RAZAK ALHASSAN,"With roots in their homeland, ABDUL RAZAK ALHASSAN defied expectations to become a force in the octagon. In the octagon, ABDUL RAZAK ALHASSAN is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 10.7 significant strikes per minute with deadly accuracy.",4,
ABEL TRUJILLO,"With roots in their homeland, ABEL TRUJILLO defied expectations to become a force in the octagon. ABEL TRUJILLO brings a high-volume striking attack to every fight, throwing over 8.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
ABUS MAGOMEDOV,"From humble origins, ABUS MAGOMEDOV earned every opportunity on their journey to the UFC. As a versatile fighter, ABUS MAGOMEDOV maintains constant pressure with over 10.6 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
ADRIAN YANEZ,"Born in the tough streets of their homeland, ADRIAN YANEZ discovered fighting as an escape from adversity. ADRIAN YANEZ brings a high-volume striking attack to every fight, throwing over 23.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
ADRIANO MARTINS,"Hailing from a small town, ADRIANO MARTINS grew up competing in underground circuits before making it to the big stage. ADRIANO MARTINS brings a high-volume striking attack to every fight, throwing over 6.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
AIEMANN ZAHABI,"Born in the tough streets of their homeland, AIEMANN ZAHABI discovered fighting as an escape from adversity. In the octagon, AIEMANN ZAHABI is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 10.2 significant strikes per minute with deadly accuracy.",4,
AILIN PEREZ,"Hailing from a small town, AILIN PEREZ grew up competing in underground circuits before making it to the big stage. In the octagon, AILIN PEREZ is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 6.8 significant strikes per minute with deadly accuracy.",5,
AKIRA CORASSANI,"Hailing from a small town, AKIRA CORASSANI grew up competing in underground circuits before making it to the big stage. AKIRA CORASSANI brings a high-volume striking attack to every fight, throwing over 10.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
AL IAQUINTA,"Born in the tough streets of their homeland, AL IAQUINTA discovered fighting as an escape from adversity. AL IAQUINTA brings a high-volume striking attack to every fight, throwing over 14.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
ALAN BELCHER,"Born in the tough streets of their homeland, ALAN BELCHER discovered fighting as an escape from adversity. ALAN BELCHER brings a high-volume striking attack to every fight, throwing over 7.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
ALAN JOUBAN,"Hailing from a small town, ALAN JOUBAN grew up competing in underground circuits before making it to the big stage. As a versatile fighter, ALAN JOUBAN maintains constant pressure with over 13.9 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",2,
ALAN PATRICK,"Hailing from a small town, ALAN PATRICK grew up competing in underground circuits before making it to the big stage. ALAN PATRICK brings a high-volume striking attack to every fight, throwing over 5.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
ALATENGHEILI,"From humble origins, ALATENGHEILI earned every opportunity on their journey to the UFC. ALATENGHEILI brings a high-volume striking attack to every fight, throwing over 8.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
ALBERT MORALES,"With roots in their homeland, ALBERT MORALES defied expectations to become a force in the octagon. ALBERT MORALES brings a high-volume striking attack to every fight, throwing over 10.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
ALBERT TUMENOV,"With roots in their homeland, ALBERT TUMENOV defied expectations to become a force in the octagon. ALBERT TUMENOV brings a high-volume striking attack to every fight, throwing over 8.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
